,LocationID,Borough,Zone,service_zone,coords
0,1,EWR,Newark Airport,EWR,"(40.68906405, -74.17725485035348)"
1,2,Queens,Jamaica Bay,Boro Zone,"(40.6039936, -73.8354124)"
2,3,Bronx,Allerton/Pelham Gardens,Boro Zone,"(40.8654299, -73.8673652)"
3,4,Manhattan,Alphabet City,Yellow Zone,"(40.7251022, -73.9795833)"
4,5,Staten Island,Arden Heights,Boro Zone,"(40.563699850000006, -74.1916031653169)"
5,6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,"(40.5984379, -74.0726412)"
6,7,Queens,Astoria,Boro Zone,"(40.7720145, -73.9302673)"
7,8,Queens,Astoria Park,Boro Zone,"(40.7788277, -73.92265804019786)"
8,9,Queens,Auburndale,Boro Zone,"(40.7614516, -73.7897239)"
9,10,Queens,Baisley Park,Boro Zone,"(40.67592055, -73.78496487588887)"
10,11,Brooklyn,Bath Beach,Boro Zone,"(40.5964509, -73.99465928932547)"
11,12,Manhattan,Battery Park,Yellow Zone,"(40.702786, -74.01577307510607)"
12,13,Manhattan,Battery Park City,Yellow Zone,"(40.7110166, -74.0169369)"
13,14,Brooklyn,Bay Ridge,Boro Zone,"(40.6320062, -74.0232101)"
14,15,Queens,Bay Terrace/Fort Totten,Boro Zone,"(40.7934184, -73.77879699648936)"
15,16,Queens,Bayside,Boro Zone,"(40.7631203, -73.7707449)"
16,17,Brooklyn,Bedford,Boro Zone,"(40.7187387, -73.9569017)"
17,18,Bronx,Bedford Park,Boro Zone,"(40.8700999, -73.8856912)"
18,19,Queens,Bellerose,Boro Zone,"(40.7327778, -73.7177778)"
19,20,Bronx,Belmont,Boro Zone,"(40.8552778, -73.8863889)"
20,21,Brooklyn,Bensonhurst East,Boro Zone,"(40.6049772, -73.9934061)"
21,22,Brooklyn,Bensonhurst West,Boro Zone,"(40.6049772, -73.9934061)"
22,23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,"(40.6125891, -74.17799)"
23,24,Manhattan,Bloomingdale,Yellow Zone,"(40.7997764, -73.9677716)"
24,25,Brooklyn,Boerum Hill,Boro Zone,"(40.68562615, -73.98417065807277)"
25,26,Brooklyn,Borough Park,Boro Zone,"(40.633993, -73.9968059)"
26,27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,"(40.556181050000006, -73.92685691994382)"
27,28,Queens,Briarwood/Jamaica Hills,Boro Zone,"(40.7092563, -73.8201394)"
28,29,Brooklyn,Brighton Beach,Boro Zone,"(40.57964365, -73.96111022551311)"
29,30,Queens,Broad Channel,Boro Zone,"(40.6080187, -73.8158007)"
30,31,Bronx,Bronx Park,Boro Zone,"(40.8588468, -73.87590377196466)"
31,32,Bronx,Bronxdale,Boro Zone,"(40.8506558, -73.8665241)"
32,33,Brooklyn,Brooklyn Heights,Boro Zone,"(40.696084850000005, -73.99502968353846)"
33,34,Brooklyn,Brooklyn Navy Yard,Boro Zone,"(40.6997716, -73.9753359)"
34,35,Brooklyn,Brownsville,Boro Zone,"(40.665306, -73.9124755)"
35,36,Brooklyn,Bushwick North,Boro Zone,"(40.6942696, -73.9187482)"
36,37,Brooklyn,Bushwick South,Boro Zone,"(40.6942867, -73.92588360783884)"
37,38,Queens,Cambria Heights,Boro Zone,"(40.6945474, -73.7384653)"
38,39,Brooklyn,Canarsie,Boro Zone,"(40.643715, -73.9006921)"
39,40,Brooklyn,Carroll Gardens,Boro Zone,"(40.6784201, -73.9948021)"
40,41,Manhattan,Central Harlem,Boro Zone,"(40.8089, -73.9482)"
41,42,Manhattan,Central Harlem North,Boro Zone,"(40.8089, -73.9482)"
42,43,Manhattan,Central Park,Yellow Zone,"(40.7827725, -73.9653627406542)"
43,44,Staten Island,Charleston/Tottenville,Boro Zone,"(40.5367719, -74.2373672)"
44,45,Manhattan,Chinatown,Yellow Zone,"(40.7164913, -73.9962504)"
45,46,Bronx,City Island,Boro Zone,"(40.84743325, -73.78642953814102)"
46,47,Bronx,Claremont/Bathgate,Boro Zone,"(40.8398756, -73.90732762601058)"
47,48,Manhattan,Clinton East,Yellow Zone,"(40.7212687, -73.9836882)"
48,49,Brooklyn,Clinton Hill,Boro Zone,"(40.6897222, -73.9652778)"
49,50,Manhattan,Clinton West,Yellow Zone,"(40.76992945000001, -73.99396319384284)"
50,51,Bronx,Co-Op City,Boro Zone,"(40.8738889, -73.8294444)"
51,52,Brooklyn,Cobble Hill,Boro Zone,"(40.687547, -73.9973352)"
52,53,Queens,College Point,Boro Zone,"(40.7876014, -73.8459682)"
53,54,Brooklyn,Columbia Street,Boro Zone,"(40.67430018436534, -74.00787066716931)"
54,55,Brooklyn,Coney Island,Boro Zone,"(40.5756208, -73.9813318)"
55,56,Queens,Corona,Boro Zone,"(40.7469593, -73.8601456)"
56,57,Queens,Corona,Boro Zone,"(40.7469593, -73.8601456)"
57,58,Bronx,Country Club,Boro Zone,"(40.8391667, -73.8197222)"
58,59,Bronx,Crotona Park,Boro Zone,"(40.83881315, -73.89239847631723)"
